,0,1
1670,nest,1
1671,crouched,1
1672,entangled,2
1673,branches,2
1674,untwist,1
1675,pieces,3
1676,nibbling,3
1677,bringing,3
1678,beautiful,13
1679,garden—how,1
1680,whoever,1
1681,lives,4
1682,frighten,1
1683,wits,1
1684,righthand,1
1685,footman,11
1686,livery,3
1687,wood—,1
1688,considered,3
1689,otherwise,4
1690,judging,1
1691,fish,4
1692,—and,3
1693,rapped,1
1694,loudly,3
1695,knuckles,1
1696,footmen,1
1697,powdered,1
1698,crept,1
1699,fish-footman,2
1700,producing,1
1701,letter,3
1702,invitation,2
1703,frog-footman,1
1704,order,3
1705,curls,1
1706,laughed,2
1707,ground,4
1708,staring,3
1709,stupidly,1
1710,knocked,1
1711,reasons,1
1712,secondly,2
1713,inside,2
1714,extraordinary,2
1715,within—a,1
1716,constant,2
1717,howling,3
1718,sneezing,6
1719,dish,4
1720,kettle,1
1721,between,6
1722,instance,3
1723,knock,1
1724,uncivil,1
1725,questions.—how,1
1726,remarked,10
1727,tomorrow—,1
1728,skimming,1
1729,grazed,1
1730,nose,7
1731,—or,2
1732,maybe,1
1733,louder,1
1734,told,6
1735,dreadful,2
1736,muttered,2
1737,argue,1
1738,drive,2
1739,crazy,1
1740,repeating,3
1741,remark,10
1742,variations,1
1743,days,4
1744,whistling,1
1745,desperately,1
1746,idiotic,1
1747,kitchen,4
1748,smoke,1
1749,stool,1
1750,nursing,3
1751,baby,12
1752,cook,13
1753,leaning,2
1754,stirring,2
1755,cauldron,2
1756,soup,18
1757,sneezed,1
1758,occasionally,1
1759,alternately,1
1760,pause,2
1761,sneeze,2
1762,hearth,1
1763,grinning,1
1764,ear,6
1765,manners,1
1766,grins,1
1767,cheshire,7
1768,violence,1
1769,courage,3
1770,grinned,3
1771,pleased,7
1772,introduce,2
1773,fix,1
1774,throwing,2
1775,within,1
1776,baby—the,1
1777,fire-irons,1
1778,saucepans,1
1779,plates,2
